1961-09-03	Starveld	Zwaluwen (Ze)	2	5
1961-09-03	Zwaluwen (He)	Succes	4	1
1961-09-10	WK	Archipel	6	6
	AW	RODA (W)	6	3
	LUTO	Rohda (A)	5	6
	DOS (E)	SVK	4	4
	Blauw Wit	Swift	8	8
	Die Haghe	Regenboog	4	5
	Spangen	Rigtersbleek	2	5
	Vicus Orientis	Zuiden (R)	3	3
	Deetos	HKV	7	12
	Deto	ZKC (Zu)	6	6
	DDV	BEP	2	2
	KZ	DTV	6	5
	SAMOS	Groen Geel	4	7
	ZKC '31	Olympia (B)	8	3
	ODO²	Fluks	8	7
	Rozenburg	Ready (H)	5	3
	Quick (D)	Algemene	6	4
	Amicitia (V)	VADA	4	3
	HKC (He)	Groen Zwart	0	15
	AKC (Al)	Naas²	4	6
	Onder Ons	Rapiditas	3	6
	Friso (L)	Vitesse (Be)	7	3
	LDO	Asko	5	2
	Hermes (G)	De Hoeve	7	5
	Sparta (W)	VKC (S)	5	3
	OEC	Organon	13	2
	Rust Roest (E)	Odilo	6	1
	Amsterdam Zuid	Hespa	2	9
	KVD	Vogel	8	6
	MEO	Oosterkwartier (H)	4	4
	Nieuw Flora	Watervliet	4	10
	Altius	Landlust	5	8
	Amersfoort	DVD²	2	4
	Aurora	Victoria (A)	4	5
	ZKV (Za)	Haarlem	13	5
	SKV (U)	Excelsior	4	4
	Fortuna (A)	Oosterpark	0	5
	OKV	Sport Vereent	9	4
	OBZB	Oosthoek	3	6
	De Tovers	Zaandam Zuid	12	4
	HSV	Charlois	2	7
	Swift (M)	Hou Stand	6	7
	Olympiaan	Actief (R)	4	3
	Steeds Hooger	Wit Blauw	7	4
	EKCA	Noviomagum	13	2
	Oost Arnhem	't Overschotje	5	3
	Club Brothers	OWK	4	5
	Rohda (H)	Nic	2	6
	NKC (No)	UNI (S)	5	3
	Dio	Forward	2	4
	Kinea (K)	KIOS (R)	5	4
	Odis (E)	Samen Een	6	5
	Leeuwarden	Luxia	8	7
	Wez Fluch	Quick '21	6	6
	Stormvogels (G)	ODI (G)	1	3
	Oisterwijk	Oranje Wit (T)	0	3
	Tjoba	ALO	9	7
	DKC (De)	Spartaan	6	4
	GKV	Morskwartier	7	8
	Schiedam	Danaiden	6	8
	Phoenix (Z)	Velox	5	3
	Crescendo	Raven	5	1
	Achilles (H)	KNS	7	9
	WION	TOV (D)	5	3
	Pams	USV	7	6
	Morgenstond	Unicum	2	4
	Korulos	HDT	3	11
	ODA	UNA (L)	1	14
	MKC (Me)	Advendo (TI)	2	3
	Moedig Voorwaarts	Halen	8	0
	Dow	De Pein	3	6
1961-09-17	Westerkwartier	Blauw Wit	7	8
	Swift	DOS (E)	5	3
	SVK	LUTO	6	9
	Rohda (A)	AW	7	2
	RODA (W)	WK	7	3
	Ons Eibernest	Deto	6	2
	HKV	Die Haghe	5	4
	Regenboog	Spangen	5	5
	Zuiden (R)	Deetos	7	7
	Rigtersbleek	Vicus Orientis	3	5
	BEP	KZ	4	1
	DED	DDV	13	4
	DTV	SAMOS	2	7
	Groen Geel	ZKC '31	7	2
	Algemene	Rozenburg	5	4
	Sperwers	ODO²	9	9
	Zwervers	Quick (D)	4	7
	Groen Zwart	Amicitia (V)	5	6
	VADA	HKC (He)	2	10
	Onder Ons	AKC (Al)	6	11
	Rapiditas	SOS	7	3
	Asko	Friso (L)	13	5
	Vitesse (Be)	Sparta (W)	4	5
	Stanfries²	VKC (S)	7	8
	De Hoeve	LDO	4	4
	Eindhoven	RWB	16	3
	Organon	Odilo	5	3
	PSV	Rust Roest (E)	6	4
	Vogel	Amsterdam Zuid	7	4
	Oosterkwartier (H)	KVD	2	1
	Watervliet	MEO	9	6
	Wittenburg	Nieuw Flora	11	1
	Landlust	Amersfoort	16	11
	KCN	Haarlem	8	6
	Victoria (A)	Altius	5	6
	ZKV (Za)	Aurora	6	3
	Excelsior	Animo Ready	2	4
	Oosterpark	De Tovers	3	7
	Sport Vereent	BIKO	7	8
	Oosthoek	OKV	4	6
	Zaandam Zuid	OBZB	6	11
	SKV (U)	Zwaluwen (H)	7	4
	Charlois	Merwede (D)	2	2
	OSCR	Eureka	5	1
	Olympiaan	Ons Huis (R)	7	4
	Actief (R)	Swift (M)	3	6
	Wit Blauw	Hellas	2	7
	ONI (A)	EKCA	3	6
	Emmen	Rohda (H)	8	3
	UNI (S)	OWK	5	2
	Club Brothers	Nic	3	7
	WWMD	Dio	6	2
	Forward	Kinea (K)	5	3
	KIOS (R)	Odis (E)	8	8
	Samen Een	SCO	3	11
	Wez Fluch	AKC (Ak)	4	5
	Blauw Wit (H)	OKO	4	11
	Ready '60	ODI (G)	0	8
	Volt	Oisterwijk	10	1
	Olympia '47	Oranje Wit (T)	4	8
	Velox	Schiedam	6	7
	Danaiden	GKV	6	10
	Morskwartier	DKC (De)	7	10
	Spartaan	Tjoba	6	10
	ALO	Phoenix (Z)	3	8
	Trekvogels (R)	Morgenstond	4	6
	Pams	Unicum	0	12
	USV	WION	5	8
	TOV (D)	Achilles (H)	4	6
	KNS	Crescendo	4	7
	Overkanters	Ahoy	8	5
	Maasglorie	DOP	3	4
	UNA (L)	Korulos	7	11
	Zunobri²	Oerterp	1	6
	Halen	DOS '46	7	5
	Advendo (TI)	ZKC '19	5	2
	Leonidas²	MKC (Me)	2	5
	Wez Warber	SIM	8	3
1961-09-24	Archipel	RODA (W)	7	5
	WK	Rohda (A)	5	10
	AW	SVK	4	3
	LUTO	Swift	4	2
	DOS (E)	Westerkwartier	5	11
	Deetos	Regenboog	6	8
	ZKC (Zu)	Rigtersbleek	6	3
	Spangen	Ons Eibernest	5	3
	Deto	HKV	6	8
