name,place,lastEventDate,lastMatchDate,firstMatchDate,topRating,lastRating,matches,fate,fateType,fateTeams
"DTS (S)","Surhuizum","2025-09-01","2025-05-31","1944-05-07",1934.0257204211896,1384.8715681683534,1367,"Gefuseerd met Harkema tot DTS (S) / Harkema",fuse_new,"Harkema|DTS (S) / Harkema"
"Harkema","Harkema","2025-09-01","2022-04-23","1962-04-29",1976.2921365295408,1063.5118429465233,1274,"Gefuseerd met DTS (S) tot DTS (S) / Harkema",fuse_new,"DTS (S)|DTS (S) / Harkema"
"Sperwers","Rotterdam","2025-09-01","2025-05-31","1927-12-11",2119.475600346311,912.5345139328824,1770,"Gefuseerd met Thor (R) tot Zuid '27",fuse_new,"Thor (R)|Zuid '27"
"Thor (R)","Rotterdam","2025-09-01","2025-05-31","1966-12-27",1705.744998709536,1531.2993363806331,818,"Gefuseerd met Sperwers tot Zuid '27",fuse_new,"Sperwers|Zuid '27"
"Zaandam Zuid","Zaandam","2025-06-15","2025-06-14","1937-05-30",1665.2839590706556,1062.730658065751,831,"Gestopt",end,""
"Melmac","Tilburg","2025-06-01","2025-05-31","1993-01-24",1462.008865801129,1120.7721441502194,355,"Gestopt",end,""
"Niek","Pesse","2025-05-25","2025-05-24","1970-08-30",1461.9534942130897,883.6604539044273,694,"Gestopt",end,""
"NKC (No)","Marum","2024-12-01","2024-03-02","1934-04-08",1865.1478219563198,842.7314898957889,1084,"Gefuseerd met Wees Kwiek tot NKC (N)/Wees Kwiek",fuse_new,"Wees Kwiek|NKC (N)/Wees Kwiek"
"Wees Kwiek","Niebert","2024-12-01","2024-02-18","1927-11-13",1645.88748121328,858.0234845376247,748,"Gefuseerd met NKC (No) tot NKC (N)/Wees Kwiek",fuse_new,"NKC (No)|NKC (N)/Wees Kwiek"
"Argus","Weesp","2024-09-29","2024-09-28","1973-12-09",1429.917238866874,673.2025286016728,306,"Gestopt",end,""
"Oranje Nassau","Amsterdam","2024-09-14","2024-06-08","1925-10-04",1882.0374666660016,989.0618383514454,1321,"Gefuseerd met Triaz tot Oranje Nassau / Triaz",fuse_new,"Triaz|Oranje Nassau / Triaz"
"Triaz","Amsterdam","2024-09-14","2024-06-08","2001-09-09",1907.220766457639,930.642453205466,594,"Gefuseerd met Oranje Nassau tot Oranje Nassau / Triaz",fuse_new,"Oranje Nassau|Oranje Nassau / Triaz"
